mc_mti,mc_processing_code,mc_acquirer_bin,mc_issuer_bin,mc_merchant_category_code,mc_merchant_country_code,mc_card_acceptor_id_code,mc_card_acceptor_name_location,mc_transaction_currency_code,mc_settlement_currency_code,mc_transaction_amount,mc_settlement_amount,mc_exchange_rate,mc_presentment_date,mc_pos_entry_mode,mc_eci_indicator,mc_ucaf_collection_indicator,mc_cvv2_result_code,mc_avs_result_code,mc_cross_border_indicator,mc_retrieval_reference_number,mc_auth_id_response,interchange_fee,rate_pct,fixed_fee,downgraded,channel_type,eci_3ds_auth
1240,0,416648,524593,5541,DE,MID949354,Merchant 514|DE,EUR,EUR,339.43,339.43,1.0,8/13/2025 0:00,90,NA,0,M,Y,False,RRN4914216886,157493,5.19 EUR,1.50%,0.10 EUR,0,card_present_contactless,0
1240,0,475258,514933,5812,GB,MID746150,Demo Merchant 723|GB,GBP,GBP,816.31,816.31,1.0,6/28/2025,81,05,2,N,A,False,RRN8141696437,731771,18.11 GBP,2.20%,0.15 GBP,1,ecommerce_3ds,1
1240,0,490143,529318,5999,FR,MID111752,Merchant 890|FR,EUR,EUR,147.19,147.19,1.0,7/18/2025 0:00,5,NA,0,M,Y,True,RRN6428774972,318886,2.31 EUR,1.50%,0.10 EUR,0,card_present_chip,0
1240,0,455351,549698,5541,CA,MID165642,Merchant 518|CA,EUR,EUR,344.22,344.22,1.0,8/4/2025 0:00,2,NA,0,M,Y,False,RRN4005438020,241010,5.26 EUR,1.50%,0.10 EUR,0,card_present_swipe,0
1240,0,404893,550123,5541,FR,MID636729,Merchant 751|FR,USD,USD,254.07,254.07,1.0,7/24/2025 0:00,90,NA,0,M,Y,False,RRN5721908884,430762,3.91 USD,1.50%,0.10 USD,0,card_present_contactless,0
1240,0,491306,550792,5999,FR,MID844795,Merchant 999|FR,USD,USD,317.86,317.86,1.0,8/8/2025 0:00,5,NA,0,M,Y,True,RRN7611936787,511089,4.87 USD,1.50%,0.10 USD,0,card_present_chip,0
1240,0,460947,535267,4511,US,MID106534,Merchant 688|US,EUR,EUR,478.74,478.74,1.0,7/14/2025 0:00,5,NA,0,M,Y,False,RRN7723360676,414325,7.28 EUR,1.50%,0.10 EUR,0,card_present_chip,0
1240,0,444494,559039,5999,GB,MID595698,Merchant 370|GB,USD,USD,424.24,424.24,1.0,7/25/2025 0:00,5,NA,0,M,Y,False,RRN6345486869,675521,6.46 USD,1.50%,0.10 USD,0,card_present_chip,0
1240,0,460739,554319,5999,AU,MID346133,Demo Merchant 130|AU,CAD,CAD,1459.64,1459.64,1.0,7/6/2025,81,07,0,U,Y,False,RRN6887351038,965440,32.26 CAD,2.20%,0.15 CAD,1,ecommerce_non3ds,0
1240,0,498064,539672,5541,GB,MID988324,Merchant 450|GB,EUR,EUR,150.75,150.75,1.0,6/12/2025 0:00,5,NA,0,M,Y,False,RRN6854459425,293016,2.36 EUR,1.50%,0.10 EUR,0,card_present_chip,0
1240,180000,495219,537906,5732,FR,MID804168,Demo Merchant 172|FR,USD,EUR,1311.01,1206.13,0.92,8/2/2025,81,05,0,U,A,False,RRN6822944778,652719,26.68 EUR,2.20%,0.15 EUR,1,ecommerce_3ds,1
1240,0,407497,525384,5411,US,MID753791,Merchant 540|US,EUR,EUR,363.57,363.57,1.0,7/15/2025 0:00,5,NA,0,M,Y,False,RRN7234796943,499754,5.55 EUR,1.50%,0.10 EUR,0,card_present_chip,0
1240,0,445966,516744,5411,US,MID794276,Merchant 726|US,EUR,EUR,202.33,202.33,1.0,7/5/2025 0:00,90,NA,0,M,Y,False,RRN4738752140,566352,3.13 EUR,1.50%,0.10 EUR,0,card_present_contactless,0
1240,0,403289,537452,5541,FR,MID279579,Merchant 970|FR,EUR,EUR,34.2,34.2,1.0,7/5/2025 0:00,90,NA,0,M,Y,False,RRN7045939592,437323,0.61 EUR,1.50%,0.10 EUR,0,card_present_contactless,0
1240,180000,440738,555351,4111,IT,MID450686,Demo Merchant 963|IT,RON,RON,454.59,454.59,1.0,8/7/2025,81,05,2,U,U,False,RRN8556260985,599475,10.15 RON,2.20%,0.15 RON,1,ecommerce_3ds,1
1240,0,462845,541279,4111,AU,MID894876,Demo Merchant 919|AU,EUR,EUR,597.43,597.43,1.0,7/16/2025,81,07,2,M,N,False,RRN3791552287,886531,11.15 EUR,1.85%,0.10 EUR,0,ecommerce_non3ds,0
1240,0,456440,557365,5411,US,MID565039,Merchant 921|US,EUR,EUR,307.5,307.5,1.0,6/27/2025 0:00,90,NA,0,M,Y,False,RRN4926849889,572752,4.71 EUR,1.50%,0.10 EUR,0,card_present_contactless,0
1240,0,400932,554487,5999,IT,MID406831,Demo Merchant 449|IT,GBP,GBP,192.57,192.57,1.0,7/24/2025,81,06,2,U,Y,False,RRN7603955411,920501,4.39 GBP,2.20%,0.15 GBP,1,ecommerce_3ds,1
1240,0,467705,549132,5542,US,MID315829,Merchant 149|US,EUR,EUR,229.46,229.46,1.0,6/29/2025 0:00,2,NA,0,M,Y,True,RRN9743008218,511228,3.54 EUR,1.50%,0.10 EUR,0,card_present_swipe,0
1240,0,420623,544808,4511,FR,MID500271,Merchant 145|FR,EUR,EUR,471.9,471.9,1.0,6/17/2025 0:00,2,NA,0,M,Y,True,RRN9286223862,911066,7.18 EUR,1.50%,0.10 EUR,0,card_present_swipe,0
1240,0,429966,522179,5541,CA,MID710105,Merchant 407|CA,USD,USD,89.73,89.73,1.0,6/17/2025 0:00,90,NA,0,M,Y,False,RRN3578617192,442525,1.45 USD,1.50%,0.10 USD,0,card_present_contactless,0
1240,0,457663,528556,4511,GB,MID411017,Merchant 907|GB,USD,USD,172.25,172.25,1.0,6/19/2025 0:00,2,NA,0,M,Y,False,RRN7273106769,485280,2.68 USD,1.50%,0.10 USD,0,card_present_swipe,0
1240,0,477678,544117,5542,US,MID111488,Merchant 766|US,EUR,EUR,26.82,26.82,1.0,6/8/2025 0:00,2,NA,0,M,Y,False,RRN4289038452,405929,0.50 EUR,1.50%,0.10 EUR,0,card_present_swipe,0
1240,0,447785,529140,4511,FR,MID257855,Merchant 628|FR,EUR,EUR,210.31,210.31,1.0,6/2/2025 0:00,5,NA,0,M,Y,True,RRN8417751913,113945,3.25 EUR,1.50%,0.10 EUR,0,card_present_chip,0
1240,0,458107,531766,5541,GB,MID288547,Merchant 523|GB,EUR,EUR,234.1,234.1,1.0,8/2/2025 0:00,90,NA,0,M,Y,False,RRN8390905636,590567,3.61 EUR,1.50%,0.10 EUR,0,card_present_contactless,0
1240,180000,494675,554526,4511,RO,MID745608,Demo Merchant 689|RO,RON,RON,875.23,875.23,1.0,8/16/2025,81,07,2,M,A,False,RRN6670533382,783207,15.85 RON,1.80%,0.10 RON,0,ecommerce_non3ds,0
1240,0,486675,529512,5999,US,MID676532,Merchant 192|US,USD,USD,58.34,58.34,1.0,6/11/2025 0:00,5,NA,0,M,Y,True,RRN1553329828,456993,0.98 USD,1.50%,0.10 USD,0,card_present_chip,0
1240,0,442942,528839,5542,GB,MID333253,Merchant 447|GB,EUR,EUR,147.16,147.16,1.0,6/3/2025 0:00,2,NA,0,M,Y,False,RRN3102145115,341604,2.31 EUR,1.50%,0.10 EUR,0,card_present_swipe,0
1240,0,473746,534328,5411,FR,MID999697,Merchant 402|FR,EUR,EUR,79.52,79.52,1.0,8/5/2025 0:00,5,NA,0,M,Y,False,RRN5468757829,317512,1.29 EUR,1.50%,0.10 EUR,0,card_present_chip,0
1240,0,440175,545551,5999,AU,MID425579,Demo Merchant 800|AU,USD,USD,246.24,246.24,1.0,8/11/2025,81,06,2,U,N,True,RRN5455587268,663367,6.06 USD,2.40%,0.15 USD,1,ecommerce_3ds,1
1240,0,458711,513159,5541,GB,MID742958,Merchant 381|GB,USD,USD,200.86,200.86,1.0,8/27/2025 0:00,5,NA,0,M,Y,False,RRN3688671231,734984,3.11 USD,1.50%,0.10 USD,0,card_present_chip,0
1240,0,472933,510591,5542,DE,MID649088,Merchant 344|DE,EUR,EUR,426.94,426.94,1.0,6/23/2025 0:00,5,NA,0,M,Y,True,RRN6880662428,384183,6.50 EUR,1.50%,0.10 EUR,0,card_present_chip,0
1240,0,422045,539802,4511,FR,MID869284,Merchant 557|FR,USD,USD,235.19,235.19,1.0,7/4/2025 0:00,5,NA,0,M,Y,False,RRN9561073782,366525,3.63 USD,1.50%,0.10 USD,0,card_present_chip,0
1240,0,446262,536909,5542,FR,MID496676,Merchant 240|FR,EUR,EUR,118.89,118.89,1.0,6/26/2025 0:00,5,NA,0,M,Y,False,RRN7562806134,774803,1.88 EUR,1.50%,0.10 EUR,0,card_present_chip,0
1240,0,472058,510525,5411,DE,MID565012,Merchant 476|DE,USD,USD,152.03,152.03,1.0,7/6/2025 0:00,90,NA,0,M,Y,False,RRN2598513168,528277,2.38 USD,1.50%,0.10 USD,0,card_present_contactless,0
1240,0,448381,512255,5542,GB,MID417028,Merchant 254|GB,USD,USD,271.76,271.76,1.0,6/18/2025 0:00,5,NA,0,M,Y,False,RRN9582712465,386337,4.18 USD,1.50%,0.10 USD,0,card_present_chip,0
1240,0,406053,559319,4511,GB,MID778052,Merchant 589|GB,EUR,EUR,213.07,213.07,1.0,7/13/2025 0:00,5,NA,0,M,Y,False,RRN8697080511,271977,3.30 EUR,1.50%,0.10 EUR,0,card_present_chip,0
1240,0,452401,521084,5542,DE,MID623329,Merchant 612|DE,EUR,EUR,310.63,310.63,1.0,8/13/2025 0:00,1,NA,0,M,Y,True,RRN5809373612,551862,4.76 EUR,1.50%,0.10 EUR,0,card_present_manual,0
