c_mti,mc_processing_code,mc_acquirer_bin,mc_issuer_bin,mc_merchant_category_code,mc_merchant_country_code,mc_card_acceptor_id_code,mc_card_acceptor_name_location,mc_transaction_currency_code,mc_settlement_currency_code,mc_transaction_amount,mc_settlement_amount,mc_exchange_rate,mc_presentment_date,mc_pos_entry_mode,mc_eci_indicator,mc_ucaf_collection_indicator,mc_cvv2_result_code,mc_avs_result_code,mc_cross_border_indicator,mc_retrieval_reference_number,mc_auth_id_response,interchange_fee,rate_pct,fixed_fee,mcc_group,downgraded,channel_type,cross_border_flag
1240,0,411427,536688,5999,GB,MID557468,Demo Merchant 892|GB,RON,RON,501.64,501.64,1.0,2025-06-12,81,6.0,2,U,R,True,RRN2052968588,101751,12.19,2.43,0.15 RON,other,1,ecommerce,True
1240,200000,449492,514579,4511,ES,MID978536,Demo Merchant 137|ES,USD,USD,217.55,217.55,1.0,2025-07-10,81,7.0,0,P,U,True,RRN7343337636,592089,0.0,0.0,,airline,1,,
1240,0,463302,523556,4789,ES,MID890807,Demo Merchant 760|ES,CAD,CAD,810.09,810.09,1.0,2025-06-24,81,,0,P,A,False,RRN3190717728,988502,17.97,2.2183,0.15 CAD,other,1,ecommerce,False
1240,0,410827,541909,5999,DE,MID469008,Demo Merchant 334|DE,CAD,CAD,114.57,114.57,1.0,2025-07-22,2,,0,N,U,False,RRN7993570526,113452,2.28,1.99,0.10 CAD,other,1,card_present,False
1240,0,494852,513914,5999,CA,MID302560,Demo Merchant 121|CA,CAD,CAD,270.5,270.5,1.0,2025-07-03,81,0.0,0,P,Y,True,RRN1043602794,578507,6.64,2.4547,0.15 CAD,other,1,ecommerce,True
1240,0,489779,527821,5732,IT,MID438121,Demo Merchant 368|IT,CAD,CAD,535.82,535.82,1.0,2025-07-31,1,,0,P,Y,False,RRN8022671505,130552,10.28,1.9186,0.10 CAD,other,1,card_present,False
1240,0,473608,531943,5732,ES,MID421035,Demo Merchant 249|ES,EUR,EUR,101.05,101.05,1.0,2025-08-23,81,7.0,0,N,R,False,RRN7522750204,663647,2.37,2.3454,0.15 EUR,other,1,ecommerce,False
1240,0,438167,535510,5812,DE,MID121613,Demo Merchant 457|DE,GBP,GBP,946.28,946.28,1.0,2025-07-28,81,0.0,0,M,R,False,RRN5879150660,800917,20.97,2.216,0.15 GBP,other,1,ecommerce,False
1240,200000,497014,557194,4111,FR,MID697882,Demo Merchant 448|FR,USD,USD,490.66,490.66,1.0,2025-06-12,5,,0,M,U,False,RRN8414514417,335829,0.0,0.0,,other,0,,
1240,0,466361,525940,5542,ES,MID432428,Demo Merchant 185|ES,USD,USD,1434.41,1434.41,1.0,2025-07-14,90,,0,U,U,False,RRN1991828343,729252,21.6,1.5058,0.08 USD,fuel,1,card_present,False
1240,0,417493,545008,5541,CA,MID765617,Demo Merchant 106|CA,RON,RON,388.99,388.99,1.0,2025-08-16,81,7.0,0,P,Z,False,RRN4972668577,739370,,,,fuel,1,,
1240,0,464811,532504,5411,US,MID945244,Demo Merchant 163|US,RON,RON,1005.08,1005.08,1.0,2025-07-24,2,,0,P,A,False,RRN5282352575,500948,10.08,1.0029,0.03 RON,supermarket,0,card_present,False
1240,0,434796,521460,4789,IT,MID588162,Demo Merchant 687|IT,GBP,GBP,401.8,401.8,1.0,2025-08-30,81,5.0,0,M,U,False,RRN6963210570,212686,7.53,1.8741,0.10 GBP,other,0,ecommerce,False
1240,0,484782,539191,5999,CA,MID792274,Demo Merchant 608|CA,GBP,GBP,1037.25,1037.25,1.0,2025-06-17,2,,0,M,Z,False,RRN1529738554,548916,19.81,1.9099,0.10 GBP,other,1,card_present,False
1240,0,405604,540822,4789,DE,MID821409,Demo Merchant 164|DE,GBP,USD,53.07,67.93,1.28,2025-07-03,2,,0,M,A,False,RRN8429624823,338631,1.39,2.6192,0.10 USD,other,1,card_present,False
1240,0,454533,533437,5732,US,MID396167,Demo Merchant 640|US,RON,RON,301.37,301.37,1.0,2025-06-12,5,,0,N,A,False,RRN9058485376,335024,4.72,1.5662,0.05 RON,other,0,card_present,False
1240,0,480328,545714,4789,FR,MID321910,Demo Merchant 347|FR,RON,RON,1188.32,1188.32,1.0,2025-06-05,1,,0,U,Z,True,RRN3118358664,303905,25.05,2.108,0.10 RON,other,1,card_present,True
1240,0,427285,514812,5732,US,MID774265,Demo Merchant 941|US,GBP,GBP,67.55,67.55,1.0,2025-07-12,81,7.0,0,N,A,False,RRN5779093845,803541,1.64,2.4278,0.15 GBP,other,1,ecommerce,False
1240,0,403403,559064,5812,DE,MID245985,Demo Merchant 587|DE,RON,RON,995.32,995.32,1.0,2025-06-14,5,,0,M,N,False,RRN4729923350,400716,15.48,1.5553,0.05 RON,other,0,card_present,False
1240,0,460306,533126,4789,US,MID186791,Demo Merchant 899|US,GBP,GBP,323.99,323.99,1.0,2025-08-25,81,,0,M,U,False,RRN8148694505,871895,7.28,2.247,0.15 GBP,other,1,ecommerce,False
1240,0,450368,521783,5732,DE,MID259066,Demo Merchant 217|DE,USD,USD,1192.06,1192.06,1.0,2025-07-30,90,,0,N,N,True,RRN2738026231,159107,20.91,1.7541,0.05 USD,other,0,card_present,True
